sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx,batch
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,goatex,mvadapter,TEXGen,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,0,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_4,_corrupt_0,_corrupt_1,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,1,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,paint3d,mvadapter,TEXGen,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,2,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_1,_corrupt_0,_corrupt_4,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,3,batch1
45_1a6d42ef69294498937aab039ececb00,main,mvadapter,TEXGen,spotex,goatex,paint3d,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,4,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,5,batch1
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,goatex,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,6,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_2,_corrupt_1,_corrupt_3,_corrupt_4,_corrupt_0,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,7,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,8,batch1
45_1a6d42ef69294498937aab039ececb00,main,mvadapter,syncmvd,TEXGen,spotex,paint3d,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,9,batch1
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_3,_corrupt_2,_corrupt_4,_corrupt_0,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,10,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,11,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,mvadapter,spotex,goatex,paint3d,syncmvd,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,12,batch1
58_1d7b005b0cf241d9890739a549769c86,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,13,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,spotex,syncmvd,TEXGen,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,14,batch1
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,paint3d,TEXGen,syncmvd,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,15,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,paint3d,mvadapter,syncmvd,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,16,batch1
06_ce195c7adddb44d2bf963c526756362a,main,syncmvd,spotex,TEXGen,paint3d,mvadapter,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,17,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,paint3d,TEXGen,syncmvd,mvadapter,goatex,spotex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,18,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,19,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_1,_corrupt_0,_corrupt_4,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,20,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,syncmvd,TEXGen,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,21,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,main,syncmvd,paint3d,spotex,mvadapter,goatex,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,22,batch1
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,TEXGen,syncmvd,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,23,batch1
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,syncmvd,TEXGen,goatex,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,24,batch1
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,mvadapter,paint3d,syncmvd,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,0,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,1,batch1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,TEXGen,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,2,batch1
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,3,batch1
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,4,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,5,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,paint3d,spotex,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,6,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,7,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,syncmvd,paint3d,goatex,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,8,batch1
45_1a6d42ef69294498937aab039ececb00,main,TEXGen,goatex,paint3d,spotex,mvadapter,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,9,batch1
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,10,batch1
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,paint3d,mvadapter,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,11,batch1
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,goatex,paint3d,TEXGen,syncmvd,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,12,batch1
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,syncmvd,spotex,paint3d,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,13,batch1
